abbreviation,name
AI,Angkatan Islam
BS,Barisan Sosialis
CP,Citizens' Party
DP,Democratic Party
DPP,Democratic Progressive Party
INDP,Independent
JPS,Justice Party Singapore
KURA,Katong United Residents Association
LP,Labour Party
LSP,Liberal Socialist Party
NSP,National Solidarity Party
PAP,People's Action Party
PF,People's Front
PKMS,Pertubohan Kebangsaan Melayu Singapura
PMIP,Pan Malayan Islamic Party
PP,Progressive Party
PRSSD,"Partai Rakyat, Singapore State Division"
RP,The Reform Party
SA,Singapore Alliance
SC,Singapore Congress
SDA,Singapore Democratic Alliance
SDP,Singapore Democratic Party
SJP,Singapore Justice Party
SLF,Singapore Labour Front
SPA,Singapore People's Alliance
SPP,Singapore People's Party
SUF,Singapore United Front
UF,United Front
UNF,United National Front
UPF,United People's Front
UPP,United People's Party
WP,Workers' Party
