district,party,candidates,candidates_count,votes,pct_votes
Bukit Panjang(8012),PP,Goh Tong Liang,2,3097,72.21
Bukit Panjang(8012),SLF,Lim Wee Toh,2,1192,27.79
Bukit Timah(9173),PP,S. F. Ho,4,722,11.62
Bukit Timah(9173),PAP,Lim Ching Siong,4,3259,52.45
Bukit Timah(9173),SLF,A. N. Mitra,4,924,14.88
Bukit Timah(9173),DP,Tan Wah Meng,4,1308,21.05
Cairnhill(13528),SLF,David Marshall,3,3305,47.58
Cairnhill(13528),PP,C. C. Tan,3,2530,36.42
Cairnhill(13528),DP,Tan Khiang Khoo,3,1111,16.00
Changi(11239),DP,C. K. Lim,3,2624,45.08
Changi(11239),PP,S. G. Mohamed Ghows,3,1699,29.19
Changi(11239),SLF,Wong Sau Sheung,3,1498,25.73
Farrer Park(12242),INDP,C. T. B. Unnithan,5,85,1.27
Farrer Park(12242),INDP,Chua Kim Watt,5,37,0.55
Farrer Park(12242),SLF,A. R. Lazarous,5,2585,38.52
Farrer Park(12242),PAP,Devan Nair,5,2219,33.07
Farrer Park(12242),PP,Eric S. B. Wee,5,1784,26.59
Geylang(16604),INDP,Goh Hood Kiat,4,1386,20.71
Geylang(16604),DP,Lam Joon Chong,4,1226,18.32
Geylang(16604),LP,Lee Yong Min,4,1325,19.80
Geylang(16604),SLF,Mak Pak Shee,4,2756,41.17
Havelock(12835),PP,Chua Bock Kwee,3,373,5.62
Havelock(12835),SLF,Lim Yew Hock,3,5744,86.48
Havelock(12835),INDP,C. S. Soh,3,525,7.90
Kampong Kapor(13815),INDP,Dasaratha Raj,4,2155,30.21
Kampong Kapor(13815),PP,Lim Kian Lee,4,443,6.21
Kampong Kapor(13815),SLF,Seah Peng Chuan,4,3253,45.60
Kampong Kapor(13815),DP,Wong Shian Yein,4,1283,17.98
Katong(22196),SLF,A. J. Braga,3,4680,45.66
Katong(22196),DP,Chan Wah Chip,3,2605,25.41
Katong(22196),PP,John Laycock,3,2965,28.93
Pasir Panjang(13812),PP,K. M. S. Hamid,4,2370,30.19
Pasir Panjang(13812),SLF,P. V. Krishnan,4,1306,16.63
Pasir Panjang(13812),DP,Leong Foon Chew,4,629,8.01
Pasir Panjang(13812),SA,Wong Foo Nam,4,3546,45.17
Paya Lebar(12827),PP,Lim Koon Teck,2,3330,52.07
Paya Lebar(12827),DP,Tan Eng Joo,2,3065,47.93
Punggol-Tampines(6628),PP,H. A. De Silva,3,796,20.72
Punggol-Tampines(6628),DP,Anthony Goh,3,918,23.90
Punggol-Tampines(6628),PAP,Goh Chew Chua,3,2127,55.38
Queenstown(7015),DP,Murray Brash,3,736,17.73
Queenstown(7015),PP,Elizabeth Choy,3,622,14.99
Queenstown(7015),SLF,Lee Choon Eng,3,2792,67.28
Rochore(12073),DP,Ong Eng Lian,3,1897,29.95
Rochore(12073),PP,Soh Ghee Soon,3,1507,23.80
Rochore(12073),SLF,Tan Theng Chiang,3,2929,46.25
Sembawang(10675),INDP,Ahmad Ibrahim,2,4281,63.24
Sembawang(10675),PP,Lee Kim Kee,2,2488,36.76
Seletar(9402),SLF,P. G. Khew,4,909,16.34
Seletar(9402),INDP,Lek Poh Song,4,1632,29.33
Seletar(9402),INDP,M. P. D. Nair,4,1771,31.83
Seletar(9402),DP,Tan Leong Teck,4,1252,22.50
Serangoon(8402),PP,Lim Choon Mong,3,2172,45.83
Serangoon(8402),DP,Lim Chye Seng,3,1412,29.80
Serangoon(8402),SA,Lim Siew Ek,3,1155,24.37
Southern Islands(3548),PP,Kulasingha H. J. C.,2,1205,49.43
Southern Islands(3548),SA,Mohamed Sidik bin H. A. &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Hamid,2,1233,50.57
Stamford(13207),SLF,J. M. Jumabhoy,4,2691,43.08
Stamford(13207),PP,Nazir Mallal,4,1153,18.46
Stamford(13207),DP,Ng Sen Choy,4,1121,17.95
Stamford(13207),INDP,Simon,4,1281,20.51
Tanjong Pagar(13430),DP,Lam Thian,3,760,9.87
Tanjong Pagar(13430),PAP,Lee Kuan Yew,3,6029,78.33
Tanjong Pagar(13430),PP,Lim Seck Tiong,3,908,11.80
Tanglin(16177),PP,John Ede,3,3214,45.67
Tanglin(16177),SLF,Lim Seow Chuan,3,1322,18.79
Tanglin(16177),DP,Lim Yong Bock,3,2501,35.54
Telok Ayer(11547),INDP,Jumabhoy R.,3,1945,39.90
Telok Ayer(11547),DP,Sng Siak Hwee,3,1477,30.30
Telok Ayer(11547),SLF,Tan Ewe Chee,3,1453,29.80
Tiong Bahru(12664),PP,Foo Few Ting,3,2100,35.80
Tiong Bahru(12664),DP,William Tan,3,2264,38.60
Tiong Bahru(12664),SA,Teo Seng Bee,3,1502,25.60
Ulu Bedok(16903),SA,Abdul Hamid bin Jumat,3,5721,61.04
Ulu Bedok(16903),PP,A. Hamid Rahmat,3,652,6.96
Ulu Bedok(16903),DP,Toh Seng Sit,3,2999,32.00
Whampoa(12345),SLF,Chew Swee Kee,3,2961,45.88
Whampoa(12345),DP,Lee Kok Liang,3,927,14.37
Whampoa(12345),PP,Thio Chan Bee,3,2565,39.75
