district,party,candidates,votes,pct_votes
Aljunied(94490),PAP,Chin Harn TongKer Sin TzeMohamad Maidin B P MGeorge Yong-Boon Yeo,Uncontested,0
Ang Mo Kio(74004),PAP,Lau Ping SumLee Hsien LoongUmar Abdul HamidYeo Toon Chia,Uncontested,0
Ayer Rajah(21887),PKMS,Aziz Ibrahim,4971,24.84
Ayer Rajah(21887),PAP,Tan Cheng Bock,15038,75.16
Bedok(86246),WP,A BalakrishnanLim Chiu Liang J BSim Say ChuanTan Soo Phuan,30121,38.02
Bedok(86246),PAP,Abdullah Bin TarmugiBeng Kian Lam ArthurS JayakumarTan Soo Khoon,49109,61.98
Boon Lay(15007),PAP,Goh Chee Wee,10106,73.27
Boon Lay(15007),PKMS,Sahid Bin Sahooman,3686,26.73
Braddell Heights(27444),PAP,Goh Choon Kang,13454,52.27
Braddell Heights(27444),SDP,Sin Kek Tong,12285,47.73
Brickworks(101440),PAP,Ahmad MattarChay Wai ChuenChen Tien Lap BernardWan Soon Bee,Uncontested,0
Bukit Batok(24908),SDP,Kwan Yue Keng,11347,48.18
Bukit Batok(24908),PAP,Ong Chit Chung,12205,51.82
Bukit Gombak(24961),SDP,Ling How Doong,12037,51.40
Bukit Gombak(24961),PAP,Seet Ai Mee,11383,48.60
Bukit Merah(11998),PAP,Ch'ng Jit Koon,6878,61.94
Bukit Merah(11998),WP,Gopalan Nair,4046,36.43
Bukit Merah(11998),INDP,Patrick Leong Siew Choong,181,1.63
Bukit Timah(24512),INDP,Md Sani Jan,371,1.68
Bukit Timah(24512),PAP,Wang Kai Yuen,16080,72.64
Bukit Timah(24512),WP,Zeng Guoyuan,5683,25.68
Buona Vista(14596),PKMS,A Karim Sattar,2716,20.58
Buona Vista(14596),PAP,Peter Sung,10481,79.42
Changi(24886),WP,Tan Bin Seng,10901,47.00
Changi(24886),PAP,Teo Chong Tee,12292,53.00
Cheng San(92979),PAP,Chandra Das SHeng Chiang MengLee Yock SuanMichael Lim Chun Leng,54963,64.05
Cheng San(92979),NSP,Chng Chin SiahChng Wee HongDe Gracias Gertrude MagdelinePok Lee Chuan,30849,35.95
Chua Chu Kang(22797),INDP,Harry W Baptist,1611,7.61
Chua Chu Kang(22797),INDP,Kwek Guan Kwee,5071,23.95
Chua Chu Kang(22797),PAP,Low Seow Chay,14498,68.44
Eunos(92728),PAP,Chew Heng ChingCharles Chong You FookSidek B SaniffTay Eng Soon,45833,52.38
Eunos(92728),WP,Lee Siew-ChohMohamed Jufrie MahmoodNeo Choon AikWee Han Kim,41673,47.62
Hong Kah(64712),PAP,Chen JohnChen Koon Lap KennethHarun Bin A GhaniYeo Cheow Tong,Uncontested,0
Hougang(21476),WP,Low Thia Khiang,10621,52.82
Hougang(21476),PAP,Tang Guan Seng,9487,47.18
Jalan Besar(82615),PAP,Choo Wee KhiangLee Boon YangPeh Chin HuaZulkifli Mohammed,Uncontested,0
Jurong(31246),WP,John Gan Eng Guan,8965,30.60
Jurong(31246),PAP,Ho Kah Leong,18843,64.32
Jurong(31246),PKMS,Mohamed Bin Awang,1489,5.08
Kampong Glam(73317),PAP,Loh Meng SeeR SinnakaruppanWong Kwei CheongYeo Ning Hong,Uncontested,0
Kreta Ayer(17310),PAP,Hu Tsu Tau,Uncontested,0
Leng Kee(19027),INDP,G K Niddy,4080,23.43
Leng Kee(19027),PAP,Ow Chin Hock,13331,76.57
Marine Parade(74032),JPS,Aminuddin Bin AmiRajasekaran K S MSuib Bin Abdul RahmanTheng Chin Eng,15222,22.75
Marine Parade(74032),PAP,Goh Chok TongLim Chee OnnOthman Haron EusofeMatthias Yao Chih,51685,77.25
Mountbatten(15497),PAP,Yap Giau Cheng Eugene,11029,77.95
Mountbatten(15497),INDP,Yen Kim Khooi,3119,22.05
Nee Soon Central(26806),SDP,Cheo Chai Chen,12709,50.33
Nee Soon Central(26806),PAP,Ng Pock Too,12541,49.67
Nee Soon South(27722),PAP,Koh Lip Lin,13719,52.76
Nee Soon South(27722),SDP,Low Yong Nguan,12284,47.24
Potong Pasir(19263),SDP,Chiam See Tong,12582,69.64
Potong Pasir(19263),PAP,Andy Gan Lai Chiang,5486,30.36
Sembawang(117951),PAP,Ho Peng KeeK ShanmugamLee Yiok SengTony Tan Keng Yam,Uncontested,0
Tampines(69801),PAP,Chng Hee KokMah Bow TanAline WongYatiman Yusof,38844,59.48
Tampines(69801),NSP,Ong Seng KweRasiah ThiagarajahSarry B HassanKen Sunn,26457,40.52
Tanglin(16801),INDP,Gnaguru s/o Thamboo Mylvaganam,163,1.23
Tanglin(16801),PAP,Lew Syn Pau,9113,68.52
Tanglin(16801),SDP,Jimmy Tan Tiang Hoe,4022,30.25
Tanjong Pagar(86944),PAP,Koo Tsai KeeLee Kuan YewLim Hng KiangS Vasoo,Uncontested,0
Thomson(68294),PAP,Ibrahim B OthmanLau Teik SoonLeong Horn KeeWong Kan Seng,Uncontested,0
Toa Payoh(63591),PAP,Davinder SinghHo Tat KinOng Teng CheongS Dhanabalan,Uncontested,0
Ulu Pandan(22299),PAP,Lim Boon Heng,11426,56.41
Ulu Pandan(22299),SDP,Ashleigh Seow,8828,43.59
Yuhua(18797),PAP,Foo Yee Shoon,9945,56.16
Yuhua(18797),SDP,Toh Kim Kiat,7762,43.84
